Timestamp,PM25_sub,PM10_sub,NO2_sub,SO2_sub,NH3_sub,CO_sub,O3_sub,AQI,AQI_Category
2021-01-01 15:00:00,,,,,,92.2,10.02,92.2,Satisfactory
2021-01-01 16:00:00,,,,,,89.38,10.43,89.38,Satisfactory
2021-01-01 17:00:00,,,,,,86.64,10.28,86.64,Satisfactory
2021-01-01 18:00:00,,,,,,81.39,11.32,81.39,Satisfactory
2021-01-01 19:00:00,,,,,,76.91,12.23,76.91,Satisfactory
2021-01-01 20:00:00,,,,,,72.98,12.91,72.98,Satisfactory
2021-01-01 21:00:00,,,,,,69.78,12.73,69.78,Satisfactory
2021-01-01 22:00:00,,,,,,68.88,11.7,68.88,Satisfactory
2021-01-01 23:00:00,,,,,,70.19,10.52,70.19,Satisfactory
2021-01-02 00:00:00,,,,,,71.86,10.19,71.86,Satisfactory
2021-01-02 01:00:00,,,,,,73.56,10.31,73.56,Satisfactory
2021-01-02 02:00:00,,,,,,75.71,9.99,75.71,Satisfactory
2021-01-02 03:00:00,156.67,104.88,62.24,5.52,6.12,77.24,9.63,156.67,Moderate
2021-01-02 04:00:00,154.32,104.86,60.07,5.23,6.04,77.74,9.38,154.32,Moderate
2021-01-02 05:00:00,150.66,104.39,58.2,4.98,6.0,77.53,9.15,150.66,Moderate
2021-01-02 06:00:00,147.64,103.88,56.86,4.77,5.98,76.38,9.44,147.64,Moderate
2021-01-02 07:00:00,145.97,103.66,56.29,4.58,5.98,73.87,9.39,145.97,Moderate
2021-01-02 08:00:00,145.63,103.61,56.21,4.42,5.99,72.0,8.87,145.63,Moderate
2021-01-02 09:00:00,147.47,103.83,56.18,4.24,5.99,70.77,8.26,147.47,Moderate
2021-01-02 10:00:00,140.8,102.75,52.81,3.94,5.97,69.98,7.68,140.8,Moderate
2021-01-02 11:00:00,138.28,102.14,49.69,3.57,5.97,69.71,7.2,138.28,Moderate
2021-01-02 12:00:00,134.88,101.72,44.8,3.13,5.93,70.25,6.71,134.88,Moderate
2021-01-02 13:00:00,129.85,,42.1,2.75,5.94,71.01,6.77,129.85,Moderate
2021-01-02 14:00:00,131.26,101.22,41.06,2.52,6.03,72.03,7.55,131.26,Moderate
2021-01-02 15:00:00,134.68,102.56,39.99,2.26,6.12,72.85,8.88,134.68,Moderate
2021-01-02 16:00:00,136.43,104.12,39.74,1.97,6.27,71.78,9.96,136.43,Moderate
2021-01-02 17:00:00,137.5,105.29,39.75,1.78,6.36,69.66,10.26,137.5,Moderate
2021-01-02 18:00:00,138.61,105.94,40.02,1.66,6.47,66.54,11.17,138.61,Moderate
2021-01-02 19:00:00,138.6,105.92,39.87,1.59,6.61,63.33,11.75,138.6,Moderate
2021-01-02 20:00:00,134.7,105.14,39.63,1.56,6.76,60.23,12.42,134.7,Moderate
2021-01-02 21:00:00,130.97,104.25,39.44,1.55,6.89,57.52,12.59,130.97,Moderate
2021-01-02 22:00:00,129.61,103.85,38.15,1.55,6.98,55.19,12.12,129.61,Moderate
2021-01-02 23:00:00,126.95,103.05,36.33,1.54,7.01,53.08,11.3,126.95,Moderate
2021-01-03 00:00:00,124.21,102.23,36.81,1.57,7.1,52.57,10.35,124.21,Moderate
2021-01-03 01:00:00,122.75,101.8,37.73,1.61,7.18,53.55,10.27,122.75,Moderate
2021-01-03 02:00:00,120.41,101.14,38.2,1.65,7.24,55.43,9.69,120.41,Moderate
2021-01-03 03:00:00,118.67,,38.58,1.7,7.3,56.85,9.27,118.67,Moderate
2021-01-03 04:00:00,117.47,99.11,39.01,1.76,7.35,58.3,8.8,117.47,Moderate
2021-01-03 05:00:00,118.06,98.64,39.61,1.8,7.37,59.44,8.47,118.06,Moderate
2021-01-03 06:00:00,118.55,98.59,40.29,1.8,7.34,60.18,7.94,118.55,Moderate
2021-01-03 07:00:00,118.22,98.02,42.28,1.79,7.32,61.62,7.03,118.22,Moderate
2021-01-03 08:00:00,116.9,97.84,43.46,1.79,7.29,63.4,6.8,116.9,Moderate
2021-01-03 09:00:00,113.59,97.3,44.23,1.8,7.26,65.06,6.78,113.59,Moderate
2021-01-03 10:00:00,112.48,97.14,45.19,1.83,7.21,67.02,6.68,112.48,Moderate
2021-01-03 11:00:00,109.54,96.71,45.22,1.84,7.15,69.17,6.71,109.54,Moderate
2021-01-03 12:00:00,106.84,95.55,45.25,1.81,7.09,70.11,7.09,106.84,Moderate
2021-01-03 13:00:00,105.22,94.86,45.27,1.71,7.01,69.26,7.55,105.22,Moderate
2021-01-03 14:00:00,103.41,93.54,45.0,1.49,6.87,67.38,8.45,103.41,Moderate
2021-01-03 15:00:00,102.11,91.18,44.77,1.29,6.68,64.67,9.96,102.11,Moderate
2021-01-03 16:00:00,101.86,88.37,44.29,1.27,6.38,60.72,11.06,101.86,Moderate
2021-01-03 17:00:00,103.96,86.35,43.72,1.23,6.14,56.26,11.89,103.96,Moderate
