Timestamp,PM25_sub,PM10_sub,NO2_sub,SO2_sub,NH3_sub,CO_sub,O3_sub,AQI,AQI_Category
2022-09-19 20:00:00,,,,,,10.56,13.3,13.3,Good
2022-09-19 21:00:00,,,,,,10.89,12.6,12.6,Good
2022-09-19 22:00:00,,,,,,11.09,11.95,11.95,Good
2022-09-19 23:00:00,,,,,,10.98,11.87,11.87,Good
2022-09-20 00:00:00,,,,,,10.78,11.99,11.99,Good
2022-09-20 01:00:00,,,,,,10.31,10.65,10.65,Good
2022-09-20 02:00:00,,,,,,10.08,9.14,10.08,Good
2022-09-20 03:00:00,,,,,,9.92,8.38,9.92,Good
2022-09-20 04:00:00,,,,,,9.66,8.11,9.66,Good
2022-09-20 05:00:00,,,,,,9.19,7.85,9.19,Good
2022-09-20 06:00:00,,,,,,8.81,7.77,8.81,Good
2022-09-20 07:00:00,,,,,,8.8,7.89,8.8,Good
2022-09-20 08:00:00,48.18,,4.51,1.77,8.92,8.78,7.66,48.18,Good
2022-09-20 09:00:00,46.96,49.72,4.42,1.77,8.92,9.02,7.61,49.72,Good
2022-09-20 10:00:00,45.52,48.6,4.27,1.77,8.91,9.23,8.02,48.6,Good
2022-09-20 11:00:00,44.02,47.41,4.16,1.78,8.91,9.25,9.24,47.41,Good
2022-09-20 12:00:00,42.83,46.45,4.09,1.79,8.9,9.11,9.93,46.45,Good
2022-09-20 13:00:00,41.51,45.46,3.99,1.8,8.89,9.02,10.74,45.46,Good
2022-09-20 14:00:00,40.08,44.37,3.87,1.81,8.89,8.86,11.01,44.37,Good
2022-09-20 15:00:00,39.47,43.6,3.9,1.82,8.89,8.73,11.89,43.6,Good
2022-09-20 16:00:00,38.2,42.68,3.78,1.82,8.88,8.48,12.23,42.68,Good
2022-09-20 17:00:00,36.64,40.94,3.67,1.8,8.87,8.72,11.67,40.94,Good
2022-09-20 18:00:00,34.38,38.59,3.56,1.78,8.87,9.39,11.04,38.59,Good
2022-09-20 19:00:00,34.32,38.53,3.39,1.75,8.86,10.36,9.7,38.53,Good
2022-09-20 20:00:00,35.65,39.76,3.45,1.75,8.86,11.36,8.89,39.76,Good
2022-09-20 21:00:00,34.73,39.27,3.59,1.75,8.86,12.64,7.96,39.27,Good
2022-09-20 22:00:00,31.99,37.89,3.74,1.75,8.87,14.05,7.55,37.89,Good
2022-09-20 23:00:00,29.85,36.92,3.77,1.76,8.87,14.61,6.41,36.92,Good
2022-09-21 00:00:00,30.26,37.31,3.84,1.77,8.87,15.67,5.67,37.31,Good
2022-09-21 01:00:00,35.69,40.75,3.88,1.77,8.88,15.84,5.84,40.75,Good
2022-09-21 02:00:00,38.6,42.46,3.86,1.78,8.87,15.25,6.07,42.46,Good
2022-09-21 03:00:00,38.28,42.1,3.76,1.78,8.87,14.37,6.24,42.1,Good
2022-09-21 04:00:00,39.43,42.74,3.65,1.78,8.86,13.45,6.36,42.74,Good
2022-09-21 05:00:00,37.21,41.23,3.53,1.79,8.85,12.23,6.49,41.23,Good
2022-09-21 06:00:00,36.39,40.53,3.49,1.79,8.85,10.94,6.67,40.53,Good
2022-09-21 07:00:00,33.92,39.36,3.44,1.81,8.85,10.33,7.16,39.36,Good
2022-09-21 08:00:00,33.29,38.76,3.41,1.82,8.85,9.22,8.32,38.76,Good
2022-09-21 09:00:00,33.14,38.52,3.38,1.82,8.85,8.39,9.74,38.52,Good
2022-09-21 10:00:00,33.26,38.66,3.38,1.8,8.85,8.0,10.47,38.66,Good
2022-09-21 11:00:00,33.81,38.94,3.34,1.78,8.84,7.67,11.34,38.94,Good
2022-09-21 12:00:00,33.53,39.03,3.54,1.75,8.85,8.88,12.11,39.03,Good
2022-09-21 13:00:00,33.33,39.1,3.53,1.72,8.85,9.22,12.79,39.1,Good
2022-09-21 14:00:00,33.37,39.21,3.67,1.7,8.86,9.75,13.48,39.21,Good
2022-09-21 15:00:00,34.12,39.78,3.81,1.68,8.87,10.31,13.92,39.78,Good
2022-09-21 16:00:00,34.47,39.73,3.98,1.65,8.88,10.48,13.24,39.73,Good
2022-09-21 17:00:00,35.42,40.87,4.07,1.63,8.88,10.98,11.97,40.87,Good
2022-09-21 18:00:00,35.51,41.34,3.93,1.62,8.88,11.25,11.5,41.34,Good
2022-09-21 19:00:00,35.05,40.81,3.9,1.6,8.88,11.59,10.78,40.81,Good
2022-09-21 20:00:00,33.18,39.33,3.92,1.59,8.88,10.72,10.0,39.33,Good
2022-09-21 21:00:00,32.13,39.04,3.86,1.58,8.88,10.86,9.34,39.04,Good
2022-09-21 22:00:00,30.97,38.35,3.78,1.57,8.87,10.77,8.62,38.35,Good
2022-09-21 23:00:00,29.89,37.56,3.81,1.56,8.88,10.34,7.72,37.56,Good
2022-09-22 00:00:00,29.77,37.31,3.76,1.54,8.88,10.62,7.44,37.31,Good
2022-09-22 01:00:00,25.63,34.41,3.78,1.53,8.88,10.53,7.32,34.41,Good
2022-09-22 02:00:00,26.4,34.69,3.82,1.52,8.88,10.42,7.02,34.69,Good
