Timestamp,PM25_sub,PM10_sub,NO2_sub,SO2_sub,NH3_sub,CO_sub,O3_sub,AQI,AQI_Category
2021-01-01 05:00:00,,,,,,4.42,42.89,42.89,Good
2021-01-01 06:00:00,,,,,,4.55,42.8,42.8,Good
2021-01-01 07:00:00,,,,,,5.2,42.9,42.9,Good
2021-01-01 08:00:00,,,,,,5.84,43.03,43.03,Good
2021-01-01 09:00:00,,,,,,7.06,43.07,43.07,Good
2021-01-01 10:00:00,,,,,,9.69,43.22,43.22,Good
2021-01-01 11:00:00,,,,,,13.06,43.36,43.36,Good
2021-01-01 12:00:00,,,,,,15.12,43.5,43.5,Good
2021-01-01 13:00:00,,,,,,17.5,43.43,43.43,Good
2021-01-01 14:00:00,,,,,,19.39,43.46,43.46,Good
2021-01-01 15:00:00,,,,,,20.95,43.49,43.49,Good
2021-01-01 16:00:00,,,,,,22.52,43.51,43.51,Good
2021-01-01 17:00:00,116.03,96.57,30.52,4.74,3.55,23.69,43.55,116.03,Moderate
2021-01-01 18:00:00,115.91,97.62,30.89,4.88,3.57,24.75,43.63,115.91,Moderate
2021-01-01 19:00:00,117.22,98.92,31.25,4.94,3.58,25.27,43.73,117.22,Moderate
2021-01-01 20:00:00,118.52,99.73,31.53,4.87,3.59,26.84,43.95,118.52,Moderate
2021-01-01 21:00:00,120.01,,31.79,4.86,3.61,28.25,44.25,120.01,Moderate
2021-01-01 22:00:00,121.33,101.38,31.9,4.94,3.61,28.69,44.42,121.33,Moderate
2021-01-01 23:00:00,122.87,101.76,31.88,5.05,3.61,27.81,44.35,122.87,Moderate
2021-01-02 00:00:00,125.15,102.34,31.92,5.22,3.61,25.84,44.23,125.15,Moderate
2021-01-02 01:00:00,125.68,102.56,31.93,5.27,3.61,23.33,43.98,125.68,Moderate
2021-01-02 02:00:00,127.75,103.01,31.91,5.31,3.61,19.58,43.81,127.75,Moderate
2021-01-02 03:00:00,129.6,103.33,31.9,5.44,3.61,15.66,43.62,129.6,Moderate
2021-01-02 04:00:00,131.02,103.67,31.91,5.64,3.61,11.86,43.31,131.02,Moderate
2021-01-02 05:00:00,132.77,103.93,31.89,5.82,3.61,7.98,42.93,132.77,Moderate
2021-01-02 06:00:00,134.01,104.1,31.84,5.91,3.61,5.45,42.78,134.01,Moderate
2021-01-02 07:00:00,133.44,103.97,31.74,5.96,3.6,4.31,42.86,133.44,Moderate
2021-01-02 08:00:00,132.87,103.86,31.72,5.93,3.6,4.78,43.05,132.87,Moderate
2021-01-02 09:00:00,131.85,103.58,31.71,5.96,3.6,4.73,43.06,131.85,Moderate
2021-01-02 10:00:00,130.1,103.24,31.75,5.8,3.61,8.28,43.11,130.1,Moderate
2021-01-02 11:00:00,128.81,103.01,31.73,5.6,3.61,12.05,43.33,128.81,Moderate
2021-01-02 12:00:00,126.74,102.66,31.78,5.48,3.61,15.01,43.53,126.74,Moderate
2021-01-02 13:00:00,126.52,102.37,31.86,5.44,3.61,18.42,45.03,126.52,Moderate
2021-01-02 14:00:00,126.54,102.6,32.04,5.36,3.62,22.58,46.87,126.54,Moderate
2021-01-02 15:00:00,126.5,103.05,32.22,5.36,3.63,26.85,48.45,126.5,Moderate
2021-01-02 16:00:00,126.9,103.2,32.33,5.18,3.64,29.52,,126.9,Moderate
2021-01-02 17:00:00,128.42,103.74,32.46,5.0,3.64,30.21,51.02,128.42,Moderate
2021-01-02 18:00:00,129.57,104.0,32.53,4.83,3.65,31.29,52.68,129.57,Moderate
2021-01-02 19:00:00,129.28,103.92,32.63,4.78,3.65,32.83,54.13,129.28,Moderate
2021-01-02 20:00:00,127.14,103.42,32.66,4.75,3.65,34.14,55.72,127.14,Moderate
2021-01-02 21:00:00,124.8,102.65,32.64,4.62,3.65,34.45,56.12,124.8,Moderate
2021-01-02 22:00:00,123.19,102.02,32.73,4.35,3.65,33.99,56.03,123.19,Moderate
2021-01-02 23:00:00,121.45,101.78,32.83,4.09,3.66,32.15,56.06,121.45,Moderate
2021-01-03 00:00:00,119.07,101.2,32.94,3.82,3.66,29.81,55.42,119.07,Moderate
2021-01-03 01:00:00,115.47,,33.03,3.69,3.66,26.43,51.49,115.47,Moderate
2021-01-03 02:00:00,110.62,98.45,33.08,3.69,3.66,22.4,47.57,110.62,Moderate
2021-01-03 03:00:00,105.84,96.63,33.12,3.74,3.66,17.61,43.65,105.84,Moderate
2021-01-03 04:00:00,101.24,95.17,33.13,3.67,3.66,13.86,39.7,101.24,Moderate
2021-01-03 05:00:00,99.85,93.75,33.13,3.61,3.66,10.64,35.89,99.85,Satisfactory
2021-01-03 06:00:00,98.3,92.45,33.15,3.72,3.66,7.49,32.21,98.3,Satisfactory
2021-01-03 07:00:00,97.22,92.01,33.15,3.73,3.66,5.52,28.51,97.22,Satisfactory
2021-01-03 08:00:00,96.0,91.36,33.12,3.9,3.66,5.16,25.27,96.0,Satisfactory
2021-01-03 09:00:00,96.0,91.36,33.12,3.9,3.66,4.75,25.21,96.0,Satisfactory
2021-01-03 10:00:00,95.19,91.05,32.99,3.95,3.65,6.67,25.27,95.19,Satisfactory
2021-01-03 11:00:00,94.31,90.13,32.83,3.91,3.64,8.58,25.38,94.31,Satisfactory
2021-01-03 12:00:00,93.84,89.72,32.78,3.81,3.64,11.22,25.57,93.84,Satisfactory
2021-01-03 13:00:00,92.89,89.16,32.71,3.7,3.64,13.92,25.68,92.89,Satisfactory
2021-01-03 14:00:00,91.88,88.05,32.45,3.62,3.63,15.53,25.68,91.88,Satisfactory
2021-01-03 15:00:00,90.5,86.45,32.21,3.56,3.61,17.44,26.62,90.5,Satisfactory
2021-01-03 16:00:00,89.08,84.98,32.05,3.71,3.61,19.01,29.32,89.08,Satisfactory
2021-01-03 17:00:00,86.99,82.74,31.84,3.75,3.6,19.54,31.24,86.99,Satisfactory
2021-01-03 18:00:00,84.77,80.73,31.58,3.76,3.59,20.2,33.57,84.77,Satisfactory
2021-01-03 19:00:00,83.05,79.11,31.34,3.73,3.58,21.52,36.0,83.05,Satisfactory
2021-01-03 20:00:00,82.88,78.25,31.2,3.86,3.57,21.83,38.34,82.88,Satisfactory
2021-01-03 21:00:00,81.19,76.41,31.03,4.0,3.56,21.36,40.76,81.19,Satisfactory
2021-01-03 22:00:00,79.38,74.63,30.86,4.08,3.55,21.73,43.09,79.38,Satisfactory
2021-01-03 23:00:00,77.43,72.26,30.7,4.03,3.55,20.81,44.52,77.43,Satisfactory
2021-01-04 00:00:00,75.59,70.54,30.55,3.93,3.54,19.02,44.06,75.59,Satisfactory
2021-01-04 01:00:00,74.67,69.36,30.45,3.68,3.54,16.74,41.63,74.67,Satisfactory
2021-01-04 02:00:00,73.7,68.3,30.4,3.66,3.54,14.24,39.22,73.7,Satisfactory
2021-01-04 03:00:00,73.11,67.75,30.35,3.7,3.54,11.16,36.73,73.11,Satisfactory
2021-01-04 04:00:00,72.93,67.24,30.35,3.79,3.54,8.53,34.36,72.93,Satisfactory
2021-01-04 05:00:00,72.51,67.07,30.35,3.84,3.54,6.41,31.93,72.51,Satisfactory
2021-01-04 06:00:00,71.89,67.07,30.41,3.69,3.54,4.78,29.61,71.89,Satisfactory
2021-01-04 07:00:00,71.23,66.0,30.42,3.68,3.54,4.16,27.39,71.23,Satisfactory
2021-01-04 08:00:00,70.12,65.08,30.37,3.5,3.54,4.23,25.55,70.12,Satisfactory
2021-01-04 09:00:00,69.38,64.96,30.4,3.48,3.54,5.56,25.66,69.38,Satisfactory
2021-01-04 10:00:00,68.39,64.02,30.52,3.43,3.55,8.62,25.8,68.39,Satisfactory
2021-01-04 11:00:00,67.81,64.08,30.73,3.49,3.56,12.73,26.53,67.81,Satisfactory
2021-01-04 12:00:00,67.1,64.08,30.83,3.73,3.57,16.8,27.98,67.1,Satisfactory
2021-01-04 13:00:00,66.31,64.0,30.9,3.86,3.58,20.64,29.49,66.31,Satisfactory
2021-01-04 14:00:00,65.89,63.67,31.13,4.11,3.59,24.64,30.96,65.89,Satisfactory
2021-01-04 15:00:00,65.45,63.42,31.33,4.3,3.6,28.45,32.38,65.45,Satisfactory
2021-01-04 16:00:00,64.97,64.03,31.53,4.42,3.61,32.03,33.76,64.97,Satisfactory
2021-01-04 17:00:00,64.83,64.55,31.68,4.52,3.62,34.48,35.16,64.83,Satisfactory
2021-01-04 18:00:00,64.72,64.82,31.91,4.51,3.63,36.11,36.49,64.82,Satisfactory
2021-01-04 19:00:00,64.56,65.44,32.23,4.54,3.65,38.16,37.4,65.44,Satisfactory
2021-01-04 20:00:00,64.28,66.81,32.62,4.45,3.67,40.59,37.43,66.81,Satisfactory
2021-01-04 21:00:00,64.82,68.48,32.87,4.28,3.69,41.69,37.45,68.48,Satisfactory
2021-01-04 22:00:00,65.03,69.1,33.12,4.24,3.71,42.16,37.39,69.1,Satisfactory
2021-01-04 23:00:00,65.14,69.46,33.25,4.3,3.71,40.34,37.24,69.46,Satisfactory
2021-01-05 00:00:00,65.49,70.04,33.35,4.41,3.72,37.61,36.03,70.04,Satisfactory
2021-01-05 01:00:00,65.39,70.43,33.4,4.49,3.72,34.62,34.84,70.43,Satisfactory
2021-01-05 02:00:00,65.57,71.07,33.45,4.32,3.73,30.71,33.61,71.07,Satisfactory
2021-01-05 03:00:00,65.36,71.39,33.49,4.08,3.73,25.12,32.26,71.39,Satisfactory
2021-01-05 04:00:00,64.83,71.33,33.52,4.09,3.73,18.99,31.06,71.33,Satisfactory
2021-01-05 05:00:00,64.34,71.25,33.54,4.22,3.73,14.42,29.75,71.25,Satisfactory
2021-01-05 06:00:00,64.09,71.33,33.53,4.44,3.74,10.04,28.59,71.33,Satisfactory
2021-01-05 07:00:00,63.74,71.67,33.56,4.51,3.74,8.29,27.63,71.67,Satisfactory
2021-01-05 08:00:00,63.74,71.97,33.61,4.64,3.74,8.03,27.65,71.97,Satisfactory
2021-01-05 09:00:00,63.9,72.39,33.64,4.7,3.74,9.05,27.66,72.39,Satisfactory
2021-01-05 10:00:00,63.62,72.53,33.64,4.76,3.74,11.64,27.74,72.53,Satisfactory
2021-01-05 11:00:00,63.36,72.73,33.69,4.81,3.75,15.77,27.82,72.73,Satisfactory
2021-01-05 12:00:00,63.64,72.87,33.74,4.53,3.75,19.29,27.87,72.87,Satisfactory
2021-01-05 13:00:00,63.3,72.56,33.74,4.25,3.74,22.33,29.92,72.56,Satisfactory
2021-01-05 14:00:00,63.12,72.56,33.7,4.16,3.74,25.62,32.11,72.56,Satisfactory
2021-01-05 15:00:00,63.0,72.54,33.68,4.22,3.74,28.52,34.37,72.54,Satisfactory
2021-01-05 16:00:00,62.75,71.76,33.6,4.08,3.73,30.49,36.63,71.76,Satisfactory
2021-01-05 17:00:00,62.29,70.99,33.56,3.93,3.73,31.9,39.07,70.99,Satisfactory
2021-01-05 18:00:00,61.68,70.3,33.47,4.05,3.72,32.02,41.43,70.3,Satisfactory
2021-01-05 19:00:00,60.91,69.3,33.35,4.22,3.71,32.18,43.78,69.3,Satisfactory
2021-01-05 20:00:00,59.71,67.67,33.26,4.37,3.71,33.78,46.21,67.67,Satisfactory
2021-01-05 21:00:00,58.89,66.75,33.23,4.6,3.71,34.85,46.47,66.75,Satisfactory
2021-01-05 22:00:00,57.48,65.84,33.03,4.7,3.69,33.78,44.72,65.84,Satisfactory
2021-01-05 23:00:00,55.79,64.82,32.92,4.76,3.69,31.59,42.39,64.82,Satisfactory
2021-01-06 00:00:00,54.02,63.41,32.8,4.78,3.68,28.9,40.17,63.41,Satisfactory
2021-01-06 01:00:00,52.28,61.9,32.72,4.85,3.68,25.93,37.81,61.9,Satisfactory
2021-01-06 02:00:00,,60.52,32.67,4.92,3.68,22.58,35.51,60.52,Satisfactory
2021-01-06 03:00:00,,59.15,32.62,5.07,3.67,17.8,33.16,59.15,Satisfactory
2021-01-06 04:00:00,48.62,57.9,32.58,5.04,3.67,12.38,30.73,57.9,Satisfactory
2021-01-06 05:00:00,47.3,56.55,32.56,4.99,3.67,8.07,28.46,56.55,Satisfactory
2021-01-06 06:00:00,45.89,54.87,32.51,4.92,3.67,5.68,28.08,54.87,Satisfactory
2021-01-06 07:00:00,44.98,54.12,32.71,4.93,3.68,4.48,28.14,54.12,Satisfactory
2021-01-06 08:00:00,43.44,52.59,32.73,4.91,3.68,5.26,28.05,52.59,Satisfactory
2021-01-06 09:00:00,42.36,51.49,32.88,4.96,3.68,7.48,27.96,51.49,Satisfactory
2021-01-06 10:00:00,41.41,,32.94,4.96,3.68,11.45,30.5,41.41,Good
2021-01-06 11:00:00,40.11,48.69,32.86,4.92,3.68,15.49,33.22,48.69,Good
2021-01-06 12:00:00,38.91,47.63,32.85,4.88,3.68,19.57,35.96,47.63,Good
2021-01-06 13:00:00,38.39,47.18,32.95,4.95,3.68,24.15,38.6,47.18,Good
2021-01-06 14:00:00,37.66,46.03,33.0,4.88,3.68,27.98,41.29,46.03,Good
2021-01-06 15:00:00,36.94,44.45,33.08,4.71,3.68,28.69,42.04,44.45,Good
2021-01-06 16:00:00,36.2,42.97,33.16,4.57,3.68,30.87,44.44,44.44,Good
2021-01-06 17:00:00,35.47,41.42,33.27,4.5,3.68,32.17,46.85,46.85,Good
2021-01-06 18:00:00,34.6,39.63,33.29,4.27,3.68,31.73,46.93,46.93,Good
2021-01-06 19:00:00,33.67,37.66,33.16,3.93,3.67,31.24,46.91,46.91,Good
2021-01-06 20:00:00,32.49,35.71,33.03,3.73,3.66,31.69,46.93,46.93,Good
2021-01-06 21:00:00,31.58,33.77,33.11,3.6,3.66,31.55,47.09,47.09,Good
2021-01-06 22:00:00,31.32,32.52,33.26,3.59,3.66,30.89,47.03,47.03,Good
2021-01-06 23:00:00,31.29,31.74,33.38,3.64,3.66,28.77,46.92,46.92,Good
2021-01-07 00:00:00,31.11,31.32,33.46,3.71,3.66,26.02,46.87,46.87,Good
2021-01-07 01:00:00,31.11,31.23,33.49,3.85,3.66,22.48,46.78,46.78,Good
2021-01-07 02:00:00,30.97,31.23,33.49,4.06,3.66,19.51,46.79,46.79,Good
2021-01-07 03:00:00,30.75,31.32,33.52,4.24,3.66,16.57,46.67,46.67,Good
2021-01-07 04:00:00,30.6,31.36,33.55,4.26,3.66,12.56,46.66,46.66,Good
2021-01-07 05:00:00,30.48,31.35,33.59,4.15,3.66,8.78,46.62,46.62,Good
2021-01-07 06:00:00,30.08,31.24,33.63,4.02,3.66,6.0,46.65,46.65,Good
2021-01-07 07:00:00,30.25,31.01,33.43,3.98,3.65,4.96,46.7,46.7,Good
2021-01-07 08:00:00,30.25,29.84,33.49,4.12,3.66,5.77,46.81,46.81,Good
2021-01-07 09:00:00,30.51,29.0,33.5,4.25,3.66,8.38,46.82,46.82,Good
2021-01-07 10:00:00,30.91,28.28,33.75,4.51,3.67,14.11,46.87,46.87,Good
2021-01-07 11:00:00,31.43,28.13,34.01,4.75,3.68,19.91,47.08,47.08,Good
2021-01-07 12:00:00,31.88,28.01,34.1,4.98,3.69,24.28,47.0,47.0,Good
2021-01-07 13:00:00,32.25,28.37,34.14,5.13,3.69,28.38,46.98,46.98,Good
2021-01-07 14:00:00,31.95,28.93,34.16,5.18,3.69,31.57,46.98,46.98,Good
2021-01-07 15:00:00,32.09,30.26,34.16,5.32,3.69,34.99,47.0,47.0,Good
2021-01-07 16:00:00,32.18,31.38,34.12,5.61,3.69,36.87,47.01,47.01,Good
2021-01-07 17:00:00,32.53,32.83,34.07,5.93,3.69,37.85,46.36,46.36,Good
2021-01-07 18:00:00,33.27,34.73,34.19,6.13,3.7,36.37,45.14,45.14,Good
2021-01-07 19:00:00,33.67,36.89,34.45,6.31,3.71,36.03,43.91,43.91,Good
2021-01-07 20:00:00,34.11,39.01,34.59,6.41,3.72,37.07,42.84,42.84,Good
2021-01-07 21:00:00,34.7,40.78,34.55,6.52,3.72,37.44,41.72,41.72,Good
2021-01-07 22:00:00,35.49,42.45,34.55,6.65,3.73,37.73,40.5,42.45,Good
2021-01-07 23:00:00,36.56,44.31,34.66,6.72,3.73,36.64,39.27,44.31,Good
2021-01-08 00:00:00,37.49,45.61,34.72,6.6,3.74,34.51,37.98,45.61,Good
2021-01-08 01:00:00,38.33,46.78,34.78,6.45,3.74,31.3,37.47,46.78,Good
2021-01-08 02:00:00,38.81,47.24,34.81,6.29,3.74,27.14,37.41,47.24,Good
2021-01-08 03:00:00,39.86,47.92,34.82,6.18,3.74,21.64,37.3,47.92,Good
2021-01-08 04:00:00,40.93,48.77,34.82,6.26,3.74,16.23,37.13,48.77,Good
2021-01-08 05:00:00,42.14,49.82,34.82,6.41,3.74,11.82,37.03,49.82,Good
2021-01-08 06:00:00,43.65,51.19,34.82,6.55,3.74,8.41,37.14,51.19,Satisfactory
2021-01-08 07:00:00,45.21,53.83,34.89,6.7,3.74,6.59,37.1,53.83,Satisfactory
2021-01-08 08:00:00,45.66,55.12,35.04,6.63,3.75,5.75,37.14,55.12,Satisfactory
2021-01-08 09:00:00,46.02,56.42,35.03,6.53,3.75,5.46,37.08,56.42,Satisfactory
2021-01-08 10:00:00,46.94,57.75,34.67,6.31,3.73,9.04,37.08,57.75,Satisfactory
2021-01-08 11:00:00,47.74,58.43,34.3,6.04,3.71,12.58,37.07,58.43,Satisfactory
2021-01-08 12:00:00,47.51,58.87,34.1,5.9,3.7,15.38,37.2,58.87,Satisfactory
2021-01-08 13:00:00,47.29,59.01,34.01,5.8,3.69,18.54,37.17,59.01,Satisfactory
2021-01-08 14:00:00,47.51,58.55,34.05,5.76,3.68,20.88,36.95,58.55,Satisfactory
2021-01-08 15:00:00,47.63,58.19,33.96,5.73,3.67,22.13,39.25,58.19,Satisfactory
2021-01-08 16:00:00,47.78,58.6,33.97,5.71,3.67,22.89,41.61,58.6,Satisfactory
2021-01-08 17:00:00,47.74,59.01,33.94,5.74,3.67,23.84,43.4,59.01,Satisfactory
2021-01-08 18:00:00,47.39,59.54,33.82,5.67,3.66,24.28,45.94,59.54,Satisfactory
2021-01-08 19:00:00,47.8,59.66,33.72,5.55,3.66,26.35,48.48,59.66,Satisfactory
2021-01-08 20:00:00,48.64,60.34,33.71,5.79,3.66,29.67,51.01,60.34,Satisfactory
2021-01-08 21:00:00,48.94,60.83,33.76,5.98,3.66,31.79,49.86,60.83,Satisfactory
2021-01-08 22:00:00,48.99,61.07,33.67,5.93,3.65,32.62,48.8,61.07,Satisfactory
2021-01-08 23:00:00,48.66,60.72,33.51,5.89,3.64,32.19,45.95,60.72,Satisfactory
2021-01-09 00:00:00,48.62,60.56,33.44,5.89,3.64,29.91,42.46,60.56,Satisfactory
2021-01-09 01:00:00,48.62,60.26,33.38,5.93,3.64,26.72,38.92,60.26,Satisfactory
2021-01-09 02:00:00,49.0,60.49,33.36,5.9,3.64,23.5,35.26,60.49,Satisfactory
2021-01-09 03:00:00,49.0,60.43,33.34,5.84,3.64,18.75,31.58,60.43,Satisfactory
2021-01-09 04:00:00,48.38,60.09,33.32,5.63,3.64,13.28,27.88,60.09,Satisfactory
2021-01-09 05:00:00,47.78,59.69,33.29,5.41,3.64,8.69,27.93,59.69,Satisfactory
2021-01-09 06:00:00,47.18,59.33,33.23,5.31,3.63,5.9,27.97,59.33,Satisfactory
2021-01-09 07:00:00,46.27,58.01,33.1,5.26,3.63,4.61,28.02,58.01,Satisfactory
2021-01-09 08:00:00,46.87,58.84,32.9,5.24,3.62,4.5,28.02,58.84,Satisfactory
2021-01-09 09:00:00,47.2,59.01,32.92,5.25,3.62,6.56,28.06,59.01,Satisfactory
2021-01-09 10:00:00,47.34,58.93,33.12,5.21,3.63,10.95,28.06,58.93,Satisfactory
2021-01-09 11:00:00,47.62,59.47,33.26,5.35,3.64,15.09,28.1,59.47,Satisfactory
2021-01-09 12:00:00,48.04,59.77,33.28,5.36,3.64,17.5,28.18,59.77,Satisfactory
2021-01-09 13:00:00,48.45,59.85,33.22,5.33,3.64,19.97,28.14,59.85,Satisfactory
2021-01-09 14:00:00,48.76,60.76,33.06,5.32,3.64,21.95,30.47,60.76,Satisfactory
2021-01-09 15:00:00,49.1,61.34,33.04,5.4,3.64,24.0,32.72,61.34,Satisfactory
2021-01-09 16:00:00,49.89,61.9,33.06,5.47,3.65,26.52,35.1,61.9,Satisfactory
2021-01-09 17:00:00,,62.85,33.2,5.54,3.65,28.83,37.48,62.85,Satisfactory
2021-01-09 18:00:00,,63.56,33.42,5.59,3.66,29.69,39.85,63.56,Satisfactory
2021-01-09 19:00:00,52.24,65.25,33.75,5.68,3.68,33.28,42.31,65.25,Satisfactory
2021-01-09 20:00:00,53.65,66.96,34.17,5.5,3.7,39.84,44.59,66.96,Satisfactory
2021-01-09 21:00:00,54.84,69.02,34.57,5.32,3.72,45.3,47.02,69.02,Satisfactory
2021-01-09 22:00:00,55.7,70.6,34.99,5.17,3.74,49.84,46.99,70.6,Satisfactory
2021-01-09 23:00:00,56.53,71.92,35.22,5.03,3.75,,47.05,71.92,Satisfactory
2021-01-10 00:00:00,57.34,73.19,35.44,4.99,3.76,,47.04,73.19,Satisfactory
2021-01-10 01:00:00,57.91,73.91,35.54,5.01,3.76,46.43,47.08,73.91,Satisfactory
2021-01-10 02:00:00,58.56,74.73,35.57,5.02,3.76,41.49,47.0,74.73,Satisfactory
2021-01-10 03:00:00,59.21,75.47,35.63,5.01,3.77,34.1,46.85,75.47,Satisfactory
