Timestamp,PM25_sub,PM10_sub,NO2_sub,SO2_sub,NH3_sub,CO_sub,O3_sub,AQI,AQI_Category
2021-01-01 05:00:00,,,,,,22.96,19.26,22.96,Good
2021-01-01 06:00:00,,,,,,23.62,19.92,23.62,Good
2021-01-01 07:00:00,,,,,,23.34,18.83,23.34,Good
2021-01-01 08:00:00,,,,,,23.75,18.53,23.75,Good
2021-01-01 09:00:00,,,,,,23.92,19.18,23.92,Good
2021-01-01 10:00:00,,,,,,24.03,20.05,24.03,Good
2021-01-01 11:00:00,,,,,,24.11,20.87,24.11,Good
2021-01-01 12:00:00,,,,,,24.12,21.8,24.12,Good
2021-01-01 13:00:00,,,,,,23.81,23.14,23.81,Good
2021-01-01 14:00:00,,,,,,23.03,24.04,24.04,Good
2021-01-01 15:00:00,,,,,,22.59,26.38,26.38,Good
2021-01-01 16:00:00,,,,,,21.89,28.16,28.16,Good
2021-01-01 17:00:00,84.46,92.36,10.38,7.9,4.7,21.41,27.62,92.36,Satisfactory
2021-01-01 18:00:00,83.97,92.25,10.37,7.92,4.61,21.45,26.4,92.25,Satisfactory
2021-01-01 19:00:00,83.53,91.71,10.37,7.98,4.58,22.05,25.54,91.71,Satisfactory
2021-01-01 20:00:00,83.34,91.32,10.38,8.15,4.74,22.03,25.37,91.32,Satisfactory
2021-01-01 21:00:00,82.14,90.28,10.39,8.25,4.84,21.88,24.69,90.28,Satisfactory
2021-01-01 22:00:00,80.9,89.54,10.37,8.42,4.91,21.84,23.77,89.54,Satisfactory
2021-01-01 23:00:00,80.38,88.75,10.36,9.1,4.92,22.17,22.75,88.75,Satisfactory
2021-01-02 00:00:00,79.39,87.76,10.38,9.32,4.92,22.5,21.69,87.76,Satisfactory
2021-01-02 01:00:00,78.77,86.86,10.32,9.44,4.93,22.73,21.16,86.86,Satisfactory
2021-01-02 02:00:00,78.65,86.25,10.2,9.54,4.93,22.53,21.33,86.25,Satisfactory
2021-01-02 03:00:00,78.69,86.02,10.05,9.67,4.81,22.06,20.51,86.02,Satisfactory
2021-01-02 04:00:00,78.56,85.69,9.81,9.85,4.87,21.75,20.33,85.69,Satisfactory
2021-01-02 05:00:00,77.12,84.16,9.57,9.9,4.93,22.0,19.9,84.16,Satisfactory
2021-01-02 06:00:00,76.4,83.39,9.51,9.93,4.97,22.83,19.28,83.39,Satisfactory
2021-01-02 07:00:00,76.75,84.15,9.54,9.97,5.08,23.84,18.71,84.15,Satisfactory
2021-01-02 08:00:00,76.87,84.91,9.61,9.96,5.09,24.84,17.76,84.91,Satisfactory
2021-01-02 09:00:00,77.65,87.48,9.67,9.94,5.11,25.81,18.26,87.48,Satisfactory
2021-01-02 10:00:00,78.47,87.65,9.89,9.93,5.11,27.02,17.23,87.65,Satisfactory
2021-01-02 11:00:00,79.14,87.05,10.4,9.93,5.03,28.5,18.11,87.05,Satisfactory
2021-01-02 12:00:00,80.55,86.48,11.13,9.97,5.03,29.97,17.62,86.48,Satisfactory
2021-01-02 13:00:00,81.27,85.93,11.68,10.05,5.03,30.75,17.39,85.93,Satisfactory
2021-01-02 14:00:00,81.89,85.2,12.24,10.16,5.01,31.27,17.38,85.2,Satisfactory
2021-01-02 15:00:00,82.52,85.05,12.71,10.24,5.05,31.19,17.73,85.05,Satisfactory
2021-01-02 16:00:00,82.95,84.66,12.81,10.24,5.06,30.66,18.36,84.66,Satisfactory
2021-01-02 17:00:00,83.83,84.36,13.05,10.29,5.08,30.44,19.09,84.36,Satisfactory
2021-01-02 18:00:00,84.28,84.21,13.24,10.35,5.09,30.19,19.73,84.28,Satisfactory
2021-01-02 19:00:00,85.04,84.9,13.43,10.58,5.05,29.77,25.81,85.04,Satisfactory
2021-01-02 20:00:00,85.55,84.66,13.5,10.95,5.05,28.84,28.84,85.55,Satisfactory
2021-01-02 21:00:00,85.64,84.32,13.57,11.26,5.09,28.14,28.95,85.64,Satisfactory
2021-01-02 22:00:00,85.88,83.56,13.62,11.45,5.11,26.8,29.2,85.88,Satisfactory
2021-01-02 23:00:00,85.18,82.84,13.67,11.06,5.14,25.92,29.34,85.18,Satisfactory
2021-01-03 00:00:00,84.67,82.74,13.71,11.15,5.15,25.56,29.7,84.67,Satisfactory
2021-01-03 01:00:00,84.62,82.54,13.74,11.53,5.16,24.91,29.12,84.62,Satisfactory
2021-01-03 02:00:00,84.07,81.84,13.84,12.04,5.15,24.05,29.84,84.07,Satisfactory
2021-01-03 03:00:00,83.28,81.18,14.18,12.62,5.14,23.19,33.88,83.28,Satisfactory
2021-01-03 04:00:00,82.73,80.83,14.36,13.21,5.15,22.41,31.66,82.73,Satisfactory
2021-01-03 05:00:00,81.94,80.32,14.94,13.68,5.16,21.62,31.55,81.94,Satisfactory
2021-01-03 06:00:00,80.99,79.55,15.01,14.14,5.15,21.41,31.36,80.99,Satisfactory
2021-01-03 07:00:00,79.18,78.44,15.26,14.48,5.15,22.22,30.84,79.18,Satisfactory
2021-01-03 08:00:00,79.51,77.41,15.36,14.63,5.16,23.2,29.68,79.51,Satisfactory
2021-01-03 09:00:00,79.46,74.34,15.51,14.81,5.16,23.94,28.94,79.46,Satisfactory
2021-01-03 10:00:00,78.32,73.57,15.37,14.98,5.15,24.11,28.04,78.32,Satisfactory
2021-01-03 11:00:00,76.75,72.51,14.79,15.16,5.12,24.06,22.96,76.75,Satisfactory
2021-01-03 12:00:00,74.85,71.76,14.07,15.44,5.11,24.33,24.21,74.85,Satisfactory
2021-01-03 13:00:00,73.56,70.88,13.58,15.54,5.12,24.64,24.46,73.56,Satisfactory
2021-01-03 14:00:00,72.74,70.51,13.11,15.65,5.11,24.95,24.57,72.74,Satisfactory
