Timestamp,PM25_sub,PM10_sub,NO2_sub,SO2_sub,NH3_sub,CO_sub,O3_sub,AQI,AQI_Category
2023-10-27 21:00:00,,,,,,42.12,81.36,81.36,Satisfactory
2023-10-27 22:00:00,,,,,,38.84,82.07,82.07,Satisfactory
2023-10-27 23:00:00,,,,,,36.12,79.83,79.83,Satisfactory
2023-10-28 00:00:00,,,,,,36.84,71.68,71.68,Satisfactory
2023-10-28 01:00:00,,,,,,36.19,69.08,69.08,Satisfactory
2023-10-28 02:00:00,,,,,,32.69,68.32,68.32,Satisfactory
2023-10-28 03:00:00,,,,,,30.75,68.41,68.41,Satisfactory
2023-10-28 04:00:00,,,,,,28.47,68.58,68.58,Satisfactory
2023-10-28 05:00:00,,,,,,30.53,61.15,61.15,Satisfactory
2023-10-28 06:00:00,,,,,,33.56,55.47,55.47,Satisfactory
2023-10-28 07:00:00,,,,,,37.33,53.13,53.13,Satisfactory
2023-10-28 08:00:00,,,,,,39.09,54.65,54.65,Satisfactory
2023-10-28 09:00:00,304.08,241.59,30.71,53.06,4.71,40.5,60.57,304.08,Very Poor
2023-10-28 10:00:00,304.06,235.97,29.89,53.86,4.76,41.97,71.69,304.06,Very Poor
2023-10-28 11:00:00,303.39,230.18,29.08,53.15,4.8,43.25,80.68,303.39,Very Poor
2023-10-28 12:00:00,301.72,223.82,28.25,51.61,4.79,43.94,89.58,301.72,Very Poor
2023-10-28 13:00:00,296.35,216.55,27.43,,4.72,44.61,,296.35,Poor
2023-10-28 14:00:00,285.75,209.22,26.68,48.56,4.65,44.58,117.02,285.75,Poor
2023-10-28 15:00:00,275.39,202.22,26.03,46.9,4.57,43.97,130.96,275.39,Poor
2023-10-28 16:00:00,267.43,192.29,25.8,45.46,4.53,42.62,137.63,267.43,Poor
2023-10-28 17:00:00,259.78,181.72,25.63,44.42,4.47,41.98,128.19,259.78,Poor
2023-10-28 18:00:00,250.43,165.81,25.35,43.75,4.39,43.11,106.93,250.43,Poor
2023-10-28 19:00:00,238.91,146.39,26.53,42.61,4.31,45.41,88.41,238.91,Poor
2023-10-28 20:00:00,230.69,134.76,27.41,41.32,4.25,47.95,72.7,230.69,Poor
2023-10-28 21:00:00,220.98,135.47,28.29,38.51,4.19,47.7,58.34,220.98,Poor
2023-10-28 22:00:00,210.17,135.12,29.56,36.15,4.18,47.08,42.62,210.17,Poor
2023-10-28 23:00:00,,135.52,30.8,34.73,4.25,46.89,27.95,135.52,Moderate
2023-10-29 00:00:00,191.64,135.92,31.23,33.96,4.3,45.59,18.01,191.64,Moderate
2023-10-29 01:00:00,182.08,135.25,31.19,33.48,4.32,43.02,16.68,182.08,Moderate
2023-10-29 02:00:00,171.09,134.52,31.19,33.14,4.37,40.8,22.45,171.09,Moderate
2023-10-29 03:00:00,160.71,133.77,31.35,32.22,4.48,34.56,30.75,160.71,Moderate
2023-10-29 04:00:00,156.47,133.22,31.64,31.01,4.59,29.08,38.68,156.47,Moderate
2023-10-29 05:00:00,151.64,132.19,31.71,28.79,4.67,26.47,43.19,151.64,Moderate
2023-10-29 06:00:00,142.93,130.79,31.47,25.31,4.72,24.11,47.92,142.93,Moderate
2023-10-29 07:00:00,133.75,129.92,31.54,25.57,4.73,27.25,53.35,133.75,Moderate
2023-10-29 08:00:00,128.59,130.71,31.69,26.5,4.73,33.23,60.75,130.71,Moderate
2023-10-29 09:00:00,127.14,131.7,31.64,26.39,4.71,36.41,69.13,131.7,Moderate
2023-10-29 10:00:00,122.87,131.39,31.75,26.09,4.72,36.75,79.23,131.39,Moderate
2023-10-29 11:00:00,118.89,130.68,31.82,26.12,4.71,39.77,87.98,130.68,Moderate
2023-10-29 12:00:00,116.26,129.79,31.83,26.26,4.69,41.98,96.87,129.79,Moderate
2023-10-29 13:00:00,114.55,129.13,31.78,26.34,4.7,44.27,110.54,129.13,Moderate
2023-10-29 14:00:00,113.13,128.52,31.69,26.49,4.71,46.59,128.22,128.52,Moderate
2023-10-29 15:00:00,112.81,128.13,31.62,26.86,4.74,43.11,146.88,146.88,Moderate
2023-10-29 16:00:00,112.95,127.94,31.46,27.02,4.78,37.83,154.12,154.12,Moderate
2023-10-29 17:00:00,112.81,127.82,30.62,26.75,4.83,36.09,148.63,148.63,Moderate
2023-10-29 18:00:00,113.73,127.25,29.23,26.5,4.88,36.05,130.41,130.41,Moderate
2023-10-29 19:00:00,117.54,126.83,29.12,26.59,5.05,45.3,104.78,126.83,Moderate
2023-10-29 20:00:00,129.48,130.29,29.07,26.78,5.11,,86.2,130.29,Moderate
2023-10-29 21:00:00,136.52,132.24,29.21,26.84,5.16,54.22,69.79,136.52,Moderate
2023-10-29 22:00:00,139.83,133.17,29.14,26.91,5.16,57.04,53.17,139.83,Moderate
2023-10-29 23:00:00,142.61,134.2,28.49,26.96,5.1,57.3,36.56,142.61,Moderate
2023-10-30 00:00:00,143.71,134.02,28.01,27.01,5.07,57.31,26.12,143.71,Moderate
2023-10-30 01:00:00,144.6,133.67,27.85,26.98,5.07,56.95,20.5,144.6,Moderate
2023-10-30 02:00:00,144.31,133.53,27.76,26.9,5.03,58.01,19.0,144.31,Moderate
2023-10-30 03:00:00,144.74,133.56,27.54,26.74,4.96,,22.02,144.74,Moderate
2023-10-30 04:00:00,145.38,133.5,27.21,26.54,4.93,39.19,25.38,145.38,Moderate
2023-10-30 05:00:00,146.91,133.18,26.83,26.35,4.88,34.03,29.73,146.91,Moderate
2023-10-30 06:00:00,146.73,132.73,26.48,26.15,4.83,29.56,34.72,146.73,Moderate
2023-10-30 07:00:00,144.03,131.62,25.75,22.57,4.79,27.67,38.99,144.03,Moderate
2023-10-30 08:00:00,137.41,129.02,24.97,18.48,4.78,27.25,43.08,137.41,Moderate
2023-10-30 09:00:00,129.84,127.0,24.83,16.95,4.79,27.25,51.17,129.84,Moderate
2023-10-30 10:00:00,125.89,126.37,24.67,16.84,4.78,24.64,62.84,126.37,Moderate
2023-10-30 11:00:00,123.12,126.01,24.54,16.58,4.72,25.27,76.61,126.01,Moderate
2023-10-30 12:00:00,122.91,126.21,24.51,16.46,4.69,26.18,90.55,126.21,Moderate
2023-10-30 13:00:00,124.29,126.92,24.56,16.5,4.7,28.07,104.26,126.92,Moderate
2023-10-30 14:00:00,126.32,127.75,24.67,17.13,4.73,29.95,123.64,127.75,Moderate
2023-10-30 15:00:00,128.24,129.08,24.89,17.25,4.77,31.54,139.95,139.95,Moderate
2023-10-30 16:00:00,131.19,130.89,25.21,17.27,4.83,32.24,147.8,147.8,Moderate
2023-10-30 17:00:00,134.78,132.52,25.44,17.39,4.88,32.84,144.91,144.91,Moderate
2023-10-30 18:00:00,136.49,133.67,25.31,17.52,4.94,33.91,134.96,136.49,Moderate
2023-10-30 19:00:00,134.71,132.87,23.19,17.52,4.87,34.84,122.32,134.71,Moderate
2023-10-30 20:00:00,124.33,127.56,21.03,17.46,4.89,35.95,107.76,127.56,Moderate
2023-10-30 21:00:00,118.07,123.38,19.69,17.48,4.92,36.36,94.91,123.38,Moderate
2023-10-30 22:00:00,117.86,121.5,19.11,17.45,4.94,36.69,80.05,121.5,Moderate
2023-10-30 23:00:00,118.25,119.48,18.96,17.46,4.96,36.73,68.46,119.48,Moderate
2023-10-31 00:00:00,119.88,118.96,19.15,17.42,4.94,36.78,58.1,119.88,Moderate
2023-10-31 01:00:00,122.62,119.86,19.53,17.4,4.91,36.34,51.55,122.62,Moderate
2023-10-31 02:00:00,126.67,120.94,19.61,17.41,4.91,37.7,48.62,126.67,Moderate
2023-10-31 03:00:00,129.91,122.02,19.55,17.55,4.88,36.17,46.9,129.91,Moderate
2023-10-31 04:00:00,133.15,123.03,19.58,17.67,4.84,34.25,46.21,133.15,Moderate
2023-10-31 05:00:00,135.14,124.12,19.61,17.76,4.82,32.16,47.08,135.14,Moderate
2023-10-31 06:00:00,138.69,124.75,19.76,17.83,4.82,30.11,,138.69,Moderate
2023-10-31 07:00:00,143.32,125.42,20.01,17.51,4.82,28.52,52.24,143.32,Moderate
2023-10-31 08:00:00,147.34,126.3,20.11,17.22,4.81,27.8,58.89,147.34,Moderate
