Timestamp,NO,NOx,Benzene,Toluene,Eth-Benzene,MP-Xylene,AT,RH,WS,WD,RF,TOT-RF,SR,PM25,PM10,NO2,SO2,NH3,CO,O3,AQI,AQI_Category
2023-10-27 21:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,42.12,81.36,81.36,Satisfactory
2023-10-27 22:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,38.84,82.07,82.07,Satisfactory
2023-10-27 23:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,36.12,79.83,79.83,Satisfactory
2023-10-28 00:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,36.84,71.68,71.68,Satisfactory
2023-10-28 01:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,36.19,69.08,69.08,Satisfactory
2023-10-28 02:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,32.69,68.32,68.32,Satisfactory
2023-10-28 03:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,30.75,68.41,68.41,Satisfactory
2023-10-28 04:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,28.47,68.58,68.58,Satisfactory
2023-10-28 05:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,30.53,61.15,61.15,Satisfactory
2023-10-28 06:00:00,4.03,16.34,3.29,13.34,0.93,1.16,25.73,64.88,0.5,212.0,0.0,0.0,41.04,304.08,241.59,30.71,53.06,4.71,33.56,55.47,55.47,Satisfactory
